age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
23,fit,mostly anything,socially,never,working on law school,white,68,20000,student,doesn&rsquo;t have kids,straight,likes dogs,catholicism but not too serious about it,m,taurus,no,english,single
25,fit,NA,rarely,never,dropped out of college/university,white,65,-1,other,"doesn&rsquo;t have kids, but might want them",straight,NA,christianity,f,aquarius,no,"english (fluently), russian (fluently)",single
30,fit,NA,socially,sometimes,graduated from college/university,white,69,30000,clerical / administrative,NA,straight,likes dogs and likes cats,other and laughing about it,m,pisces but it doesn&rsquo;t matter,no,"english, spanish (poorly)",seeing someone
29,athletic,anything,socially,NA,graduated from college/university,white,69,-1,artistic / musical / writer,doesn&rsquo;t have kids,straight,likes dogs,agnosticism but not too serious about it,m,capricorn,no,english,single
30,fit,mostly anything,socially,NA,graduated from college/university,asian,69,-1,science / tech / engineering,NA,straight,likes dogs,other,m,NA,no,"english, chinese, japanese",single
63,average,NA,socially,NA,graduated from college/university,white,67,40000,executive / management,"doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,has dogs,buddhism and laughing about it,m,taurus but it doesn&rsquo;t matter,no,english,single
24,athletic,NA,socially,never,graduated from college/university,white,68,-1,sales / marketing / biz dev,"doesn&rsquo;t have kids, but might want them",straight,NA,catholicism and laughing about it,m,taurus but it doesn&rsquo;t matter,no,english,single
42,average,anything,not at all,NA,graduated from two-year college,"pacific islander, white",70,30000,hospitality / travel,"has kids, but doesn&rsquo;t want more",straight,NA,atheism and laughing about it,m,libra and it matters a lot,no,"english (fluently), spanish (okay)",single
29,a little extra,NA,socially,never,graduated from college/university,hispanic / latin,73,60000,computer / hardware / software,doesn&rsquo;t want kids,straight,likes dogs and has cats,agnosticism but not too serious about it,m,pisces but it doesn&rsquo;t matter,no,english (fluently),single
37,fit,NA,socially,NA,graduated from masters program,white,65,-1,NA,doesn&rsquo;t have kids,gay,NA,judaism and laughing about it,f,NA,no,english,single
24,NA,anything,often,NA,working on masters program,white,67,-1,education / academia,NA,straight,NA,NA,f,aquarius,no,english,single
29,fit,strictly anything,socially,NA,graduated from college/university,white,64,-1,other,NA,gay,likes dogs and likes cats,NA,f,taurus and it&rsquo;s fun to think about,NA,"english (fluently), french (fluently)",single
29,average,NA,socially,never,graduated from college/university,white,66,-1,other,NA,straight,NA,judaism and somewhat serious about it,f,leo but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay), hebrew (poorly)",single
40,fit,NA,rarely,never,dropped out of masters program,white,73,-1,science / tech / engineering,NA,straight,likes cats,atheism and laughing about it,m,aquarius but it doesn&rsquo;t matter,no,english,single
34,fit,anything,socially,never,graduated from college/university,asian,60,-1,student,"doesn&rsquo;t have kids, but might want them",straight,has dogs,agnosticism,f,cancer,no,english,single
36,average,mostly vegetarian,socially,never,dropped out of college/university,white,61,30000,other,has a kid,bisexual,NA,atheism and somewhat serious about it,f,taurus and it&rsquo;s fun to think about,no,"english (fluently), chinese (poorly)",single
20,thin,NA,socially,NA,working on college/university,asian,64,-1,student,NA,straight,likes dogs,NA,m,sagittarius but it doesn&rsquo;t matter,no,"english, vietnamese (okay)",single
31,fit,mostly anything,socially,never,graduated from med school,black,63,-1,medicine / health,NA,straight,likes dogs and dislikes cats,christianity and somewhat serious about it,f,scorpio but it doesn&rsquo;t matter,no,english,single
27,athletic,mostly anything,rarely,never,working on college/university,black,66,50000,other,"doesn&rsquo;t have kids, but wants them",straight,likes dogs,christianity and somewhat serious about it,m,pisces but it doesn&rsquo;t matter,no,english (fluently),single
23,athletic,mostly anything,socially,never,graduated from high school,"asian, hispanic / latin",64,20000,construction / craftsmanship,NA,straight,likes dogs and likes cats,christianity but not too serious about it,m,gemini but it doesn&rsquo;t matter,sometimes,english (fluently),single
48,NA,NA,socially,NA,graduated from college/university,NA,70,-1,other,NA,straight,likes dogs and likes cats,NA,f,gemini but it doesn&rsquo;t matter,no,english,single
28,athletic,NA,often,NA,working on masters program,NA,71,-1,medicine / health,NA,straight,NA,NA,f,scorpio and it matters a lot,no,"english, chinese, spanish",single
25,athletic,mostly anything,socially,never,graduated from college/university,white,70,-1,hospitality / travel,NA,straight,NA,judaism but not too serious about it,f,capricorn but it doesn&rsquo;t matter,no,english,single
32,athletic,strictly vegetarian,socially,never,graduated from college/university,white,72,-1,executive / management,doesn&rsquo;t have kids,straight,likes dogs and likes cats,atheism,m,cancer,no,"english (fluently), japanese (okay), spanish (okay), french (poorly)",single
23,average,NA,rarely,sometimes,graduated from college/university,white,64,20000,other,NA,gay,likes dogs and likes cats,NA,f,gemini and it&rsquo;s fun to think about,no,"english, spanish (poorly)",available
30,a little extra,mostly anything,socially,never,graduated from college/university,white,68,-1,science / tech / engineering,"doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,agnosticism but not too serious about it,m,virgo but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently), italian (fluently), french (fluently), portuguese (fluently)",single
68,overweight,mostly vegetarian,rarely,NA,graduated from masters program,other,67,20000,artistic / musical / writer,has kids,straight,NA,catholicism and laughing about it,m,taurus and it&rsquo;s fun to think about,no,"english, spanish, latin, french",single
34,fit,mostly other,rarely,NA,graduated from college/university,white,72,-1,other,NA,straight,NA,other and laughing about it,m,sagittarius,no,"english, portuguese (okay), french (poorly), german (poorly), spanish (okay)",single
35,average,NA,socially,never,graduated from college/university,white,73,-1,education / academia,NA,gay,NA,other,m,taurus and it&rsquo;s fun to think about,no,english,single
23,fit,strictly anything,often,NA,graduated from college/university,white,68,-1,hospitality / travel,NA,straight,likes dogs,NA,m,aries but it doesn&rsquo;t matter,no,english,single
36,skinny,strictly vegetarian,socially,never,graduated from college/university,hispanic / latin,61,-1,artistic / musical / writer,"doesn&rsquo;t have kids, but might want them",straight,has dogs,buddhism but not too serious about it,f,cancer,no,"english, spanish (fluently)",single
28,average,mostly anything,often,NA,graduated from college/university,black,65,-1,NA,NA,straight,NA,NA,m,cancer and it&rsquo;s fun to think about,no,"english (fluently), french (fluently), spanish (okay)",single
25,NA,NA,NA,NA,graduated from college/university,"asian, pacific islander",62,-1,banking / financial / real estate,NA,straight,has dogs and likes cats,NA,f,scorpio,NA,"english, french, tagalog",single
25,thin,mostly anything,socially,never,working on ph.d program,white,71,-1,student,NA,straight,likes dogs and likes cats,catholicism and somewhat serious about it,m,NA,no,english (fluently),single
28,NA,mostly anything,socially,never,graduated from law school,white,68,-1,law / legal services,"doesn&rsquo;t have kids, but wants them",straight,NA,NA,f,cancer but it doesn&rsquo;t matter,no,"english, spanish (okay)",single
31,fit,anything,socially,sometimes,graduated from college/university,white,70,-1,NA,doesn&rsquo;t have kids,straight,likes dogs and likes cats,atheism,m,cancer,NA,"english, dutch (okay), french (poorly)",single
52,fit,NA,rarely,never,graduated from masters program,asian,67,-1,other,has kids,straight,likes dogs and dislikes cats,christianity,m,NA,when drinking,"english (fluently), chinese (okay)",single
37,average,strictly anything,socially,never,working on law school,white,74,-1,student,NA,bisexual,NA,other,m,taurus,no,"english (fluently), german (poorly), spanish (poorly), japanese (poorly)",single
47,curvy,mostly anything,socially,never,graduated from two-year college,white,66,-1,NA,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism but not too serious about it,f,libra and it&rsquo;s fun to think about,yes,english,single
29,athletic,NA,rarely,never,graduated from masters program,white,72,50000,science / tech / engineering,NA,straight,likes dogs,NA,m,pisces and it&rsquo;s fun to think about,no,"english, spanish (fluently), russian (poorly), french (poorly), japanese (poorly)",single
51,fit,other,not at all,never,working on two-year college,white,65,-1,student,NA,gay,likes dogs and likes cats,other and somewhat serious about it,m,leo but it doesn&rsquo;t matter,no,english (fluently),single
28,thin,NA,socially,NA,working on masters program,white,69,-1,computer / hardware / software,doesn&rsquo;t want kids,straight,likes dogs and likes cats,atheism and somewhat serious about it,m,virgo and it&rsquo;s fun to think about,no,"english (fluently), japanese (poorly), c++ (fluently), lisp (poorly), other",seeing someone
46,NA,NA,rarely,never,graduated from college/university,white,66,-1,sales / marketing / biz dev,"doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and has cats,NA,f,leo and it&rsquo;s fun to think about,no,english,single
32,curvy,NA,often,never,graduated from college/university,white,69,-1,other,doesn&rsquo;t want kids,straight,has dogs and likes cats,agnosticism and laughing about it,f,sagittarius but it doesn&rsquo;t matter,sometimes,"english (fluently), spanish (okay), japanese (poorly)",single
23,NA,mostly vegetarian,socially,sometimes,working on college/university,NA,67,-1,student,NA,straight,NA,judaism but not too serious about it,f,capricorn,NA,english,single
31,fit,NA,socially,never,graduated from masters program,white,70,-1,sales / marketing / biz dev,NA,straight,NA,catholicism and somewhat serious about it,m,aquarius but it doesn&rsquo;t matter,no,english,single
32,average,NA,socially,never,graduated from two-year college,white,72,40000,other,has kids,straight,NA,other but not too serious about it,m,pisces but it doesn&rsquo;t matter,yes,english,single
32,fit,mostly other,rarely,never,graduated from college/university,NA,69,-1,other,NA,straight,likes dogs and has cats,other and laughing about it,f,gemini but it doesn&rsquo;t matter,no,english,single
24,average,mostly other,socially,NA,high school,"asian, pacific islander, hispanic / latin",66,-1,science / tech / engineering,has a kid,straight,has dogs,catholicism and somewhat serious about it,m,taurus and it&rsquo;s fun to think about,yes,english,single
28,average,NA,socially,never,graduated from masters program,other,64,-1,education / academia,NA,straight,likes dogs and likes cats,agnosticism and laughing about it,f,aries and it&rsquo;s fun to think about,no,english,single
25,average,NA,socially,never,working on college/university,hispanic / latin,71,20000,political / government,NA,gay,NA,NA,m,virgo and it&rsquo;s fun to think about,no,english (fluently),single
31,NA,NA,NA,NA,graduated from masters program,NA,75,-1,NA,NA,straight,NA,NA,m,virgo,NA,english,single
25,average,NA,often,sometimes,working on law school,NA,72,-1,artistic / musical / writer,NA,straight,dislikes dogs and likes cats,judaism and laughing about it,m,leo but it doesn&rsquo;t matter,no,"english (fluently), french (okay)",single
22,thin,NA,socially,NA,graduated from college/university,NA,63,-1,NA,NA,straight,likes dogs and likes cats,NA,f,scorpio,no,english,single
23,skinny,NA,often,sometimes,NA,"middle eastern, white",67,-1,NA,NA,straight,NA,NA,f,NA,sometimes,"english (fluently), french (okay), spanish (okay), sign language (fluently), farsi (okay)",single
27,skinny,anything,socially,never,working on masters program,asian,67,-1,banking / financial / real estate,"doesn&rsquo;t have kids, but might want them",straight,NA,NA,m,virgo and it&rsquo;s fun to think about,no,"english, chinese",single
26,average,anything,socially,never,graduated from college/university,white,70,-1,sales / marketing / biz dev,doesn&rsquo;t have kids,straight,likes dogs and likes cats,judaism but not too serious about it,m,scorpio but it doesn&rsquo;t matter,no,english (fluently),single
18,NA,NA,socially,sometimes,working on college/university,indian,65,-1,NA,NA,straight,NA,NA,f,sagittarius,NA,english (fluently),single
29,fit,mostly anything,not at all,never,graduated from masters program,indian,69,100000,computer / hardware / software,NA,straight,likes dogs and likes cats,agnosticism,m,cancer but it doesn&rsquo;t matter,no,english,single
37,average,NA,socially,sometimes,graduated from college/university,"black, native american, white",68,-1,computer / hardware / software,NA,straight,NA,NA,m,gemini but it doesn&rsquo;t matter,when drinking,english (fluently),single
26,fit,mostly anything,socially,never,graduated from college/university,white,70,-1,hospitality / travel,NA,straight,likes dogs and dislikes cats,agnosticism but not too serious about it,f,taurus and it&rsquo;s fun to think about,no,english (fluently),single
43,a little extra,anything,socially,never,NA,white,67,-1,NA,has a kid,straight,NA,agnosticism and laughing about it,m,NA,no,english,single
30,average,strictly anything,NA,never,graduated from college/university,other,70,-1,NA,NA,straight,NA,NA,m,NA,NA,english,single
36,thin,mostly anything,socially,never,graduated from college/university,indian,76,-1,NA,NA,straight,NA,NA,m,NA,no,english,single
31,average,NA,not at all,never,graduated from masters program,white,69,-1,other,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,atheism and laughing about it,m,sagittarius but it doesn&rsquo;t matter,NA,"english (fluently), french (okay), polish (okay)",single
24,a little extra,mostly other,rarely,never,working on two-year college,hispanic / latin,60,-1,medicine / health,has kids,straight,likes dogs and dislikes cats,christianity and somewhat serious about it,f,virgo and it&rsquo;s fun to think about,no,english,single
25,average,strictly anything,socially,sometimes,graduated from masters program,white,69,-1,NA,doesn&rsquo;t have kids,straight,NA,agnosticism but not too serious about it,m,aquarius but it doesn&rsquo;t matter,sometimes,"english, french",single
23,NA,NA,often,sometimes,graduated from ph.d program,NA,65,-1,artistic / musical / writer,NA,straight,NA,NA,f,capricorn,yes,"english (poorly), japanese (fluently)",single
43,athletic,strictly anything,socially,never,graduated from college/university,white,67,150000,executive / management,has kids,straight,NA,NA,m,libra and it&rsquo;s fun to think about,NA,"english (fluently), french (poorly), spanish (poorly)",single
32,fit,NA,socially,never,NA,hispanic / latin,69,80000,medicine / health,NA,straight,likes dogs,NA,m,aries and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently)",single
24,average,strictly anything,socially,sometimes,working on college/university,white,71,-1,student,NA,straight,likes dogs and dislikes cats,christianity but not too serious about it,m,gemini and it&rsquo;s fun to think about,sometimes,"english (fluently), french (poorly), latin (okay)",seeing someone
34,average,mostly vegetarian,socially,never,graduated from two-year college,hispanic / latin,63,-1,other,doesn&rsquo;t have kids,gay,likes dogs and likes cats,other and laughing about it,f,aries and it&rsquo;s fun to think about,no,"english (okay), esperanto (fluently), portuguese (okay), croatian (poorly)",single
26,athletic,NA,rarely,never,graduated from college/university,white,69,-1,banking / financial / real estate,NA,straight,likes dogs and dislikes cats,buddhism but not too serious about it,m,gemini and it&rsquo;s fun to think about,no,"english (fluently), french (okay)",single
32,NA,NA,rarely,sometimes,graduated from college/university,NA,60,-1,entertainment / media,doesn&rsquo;t want kids,bisexual,has cats,atheism and laughing about it,f,aquarius but it doesn&rsquo;t matter,no,"english (fluently), german (okay), spanish (poorly)",seeing someone
29,NA,mostly vegetarian,socially,NA,graduated from masters program,NA,63,-1,NA,NA,straight,likes dogs and likes cats,atheism and somewhat serious about it,f,capricorn but it doesn&rsquo;t matter,no,"english, german, spanish (okay), french (okay)",seeing someone
50,full figured,anything,socially,NA,NA,black,63,-1,other,NA,gay,likes dogs and likes cats,NA,f,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), dutch (poorly), spanish (poorly)",single
30,average,mostly other,socially,NA,graduated from college/university,white,66,70000,medicine / health,NA,straight,has dogs and has cats,NA,f,libra and it&rsquo;s fun to think about,no,"english (fluently), german (poorly), spanish (poorly), turkish (poorly)",single
54,fit,NA,not at all,never,graduated from ph.d program,white,70,150000,executive / management,has kids,straight,NA,other,m,leo but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single
24,average,mostly anything,socially,never,graduated from college/university,white,67,-1,other,"doesn&rsquo;t have kids, but wants them",straight,has dogs,other,f,virgo but it doesn&rsquo;t matter,no,"english, french (okay)",single
32,average,NA,socially,never,graduated from college/university,NA,65,-1,entertainment / media,NA,straight,likes dogs and likes cats,NA,f,NA,no,english,single
32,thin,strictly other,socially,sometimes,dropped out of space camp,"middle eastern, white, other",68,1000000,artistic / musical / writer,NA,gay,likes dogs and likes cats,buddhism and laughing about it,m,taurus and it matters a lot,no,"english (fluently), spanish (poorly)",single
32,curvy,mostly anything,often,NA,graduated from med school,indian,64,-1,medicine / health,NA,straight,likes dogs and likes cats,other but not too serious about it,f,taurus and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly), hindi (poorly)",single
31,average,strictly anything,socially,never,graduated from college/university,white,66,-1,NA,NA,straight,NA,agnosticism and somewhat serious about it,m,gemini but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single
30,athletic,NA,socially,sometimes,NA,white,61,20000,education / academia,"doesn&rsquo;t have kids, but might want them",straight,NA,judaism,f,scorpio,no,"english (fluently), hebrew (fluently)",single
22,thin,mostly vegetarian,socially,NA,working on space camp,"white, other",66,30000,other,NA,straight,NA,agnosticism,m,gemini and it&rsquo;s fun to think about,yes,english,single
30,NA,NA,socially,sometimes,dropped out of college/university,white,69,-1,NA,NA,straight,dislikes dogs and likes cats,agnosticism,m,gemini but it doesn&rsquo;t matter,yes,english,single
49,athletic,anything,not at all,never,graduated from high school,white,70,-1,sales / marketing / biz dev,NA,straight,likes dogs,NA,m,libra but it doesn&rsquo;t matter,no,english,single
33,athletic,NA,socially,never,working on med school,NA,72,-1,science / tech / engineering,NA,straight,NA,NA,m,NA,no,english,single
40,average,NA,not at all,never,graduated from college/university,hispanic / latin,72,70000,banking / financial / real estate,has a kid,straight,NA,christianity and somewhat serious about it,m,libra and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",single
31,athletic,NA,socially,never,two-year college,hispanic / latin,71,-1,construction / craftsmanship,has a kid,straight,NA,catholicism,m,gemini,no,english,single
47,thin,NA,rarely,never,NA,other,66,-1,NA,doesn&rsquo;t have kids,straight,NA,NA,m,NA,no,english,single
29,athletic,mostly anything,socially,never,graduated from college/university,white,72,-1,NA,doesn&rsquo;t have kids,straight,likes dogs,NA,m,gemini,no,english,single
25,average,strictly vegan,not at all,never,working on ph.d program,white,67,-1,computer / hardware / software,NA,straight,NA,atheism and laughing about it,m,virgo but it doesn&rsquo;t matter,no,english (fluently),single
30,athletic,anything,socially,never,graduated from college/university,"middle eastern, white",69,50000,sales / marketing / biz dev,NA,straight,has dogs,catholicism,m,leo,no,"english (fluently), arabic (fluently), spanish (okay), french (okay), hindi (poorly)",single
21,a little extra,mostly anything,socially,never,graduated from high school,white,74,70000,other,NA,straight,likes dogs and likes cats,other but not too serious about it,m,capricorn and it&rsquo;s fun to think about,when drinking,"english (okay), spanish (poorly)",single
38,average,NA,socially,NA,dropped out of space camp,white,70,-1,computer / hardware / software,doesn&rsquo;t have kids,straight,likes dogs and has cats,catholicism and laughing about it,m,virgo but it doesn&rsquo;t matter,when drinking,english,single
38,average,NA,socially,never,graduated from masters program,white,77,-1,computer / hardware / software,NA,gay,likes dogs,NA,m,NA,no,english,single
29,thin,mostly anything,socially,never,graduated from med school,"hispanic / latin, white",64,-1,medicine / health,doesn&rsquo;t have kids,straight,NA,NA,f,NA,no,"english, spanish",single
24,average,strictly anything,socially,sometimes,graduated from college/university,"hispanic / latin, white",62,-1,education / academia,doesn&rsquo;t have kids,straight,has dogs and likes cats,catholicism and laughing about it,f,sagittarius and it&rsquo;s fun to think about,sometimes,english (fluently),single
28,athletic,mostly other,often,never,graduated from two-year college,white,73,-1,artistic / musical / writer,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,atheism but not too serious about it,m,scorpio but it doesn&rsquo;t matter,sometimes,"english (fluently), spanish (poorly), greek (poorly), japanese (poorly)",single
32,average,NA,often,never,graduated from masters program,asian,67,150000,executive / management,NA,straight,likes dogs,NA,f,NA,when drinking,english (fluently),single
36,average,NA,socially,never,graduated from college/university,white,74,-1,other,NA,straight,NA,NA,m,libra,yes,english (fluently),single
33,average,strictly anything,socially,never,graduated from ph.d program,indian,69,-1,student,doesn&rsquo;t have kids,gay,NA,other,m,taurus but it doesn&rsquo;t matter,no,"english (fluently), tamil (fluently), french (poorly), japanese (poorly)",single
30,jacked,strictly anything,rarely,never,graduated from college/university,asian,70,-1,student,doesn&rsquo;t have kids,straight,likes dogs and likes cats,NA,m,NA,no,"english (fluently), hindi (poorly)",single
30,skinny,NA,socially,never,graduated from college/university,asian,68,-1,NA,NA,gay,likes dogs,NA,m,leo,sometimes,english,single
32,average,anything,socially,NA,working on college/university,hispanic / latin,68,-1,other,NA,straight,likes dogs and likes cats,other and laughing about it,m,scorpio,no,"english (fluently), spanish (poorly)",seeing someone
43,average,anything,socially,never,NA,hispanic / latin,70,-1,executive / management,has kids,straight,NA,christianity,m,NA,no,english,single
35,athletic,mostly anything,socially,NA,graduated from college/university,NA,70,-1,medicine / health,NA,straight,NA,catholicism but not too serious about it,m,aquarius but it doesn&rsquo;t matter,NA,english,single
38,thin,mostly vegetarian,not at all,NA,graduated from masters program,white,64,-1,sales / marketing / biz dev,"doesn&rsquo;t have kids, but might want them",straight,has dogs,other and somewhat serious about it,f,libra and it matters a lot,no,"english (fluently), spanish (okay)",single
43,athletic,mostly vegetarian,socially,sometimes,graduated from space camp,white,71,-1,entertainment / media,NA,straight,likes dogs,atheism and laughing about it,m,gemini but it doesn&rsquo;t matter,no,english,single
24,average,NA,socially,sometimes,graduated from college/university,white,68,-1,NA,NA,straight,likes dogs and likes cats,NA,f,cancer but it doesn&rsquo;t matter,no,"english, spanish (poorly), italian (poorly)",single
32,athletic,NA,socially,never,NA,"white, other",79,70000,other,NA,straight,has dogs,NA,m,NA,sometimes,english (fluently),single
42,average,NA,socially,NA,graduated from college/university,white,70,-1,executive / management,has a kid,straight,NA,NA,f,pisces,no,"english (fluently), french (okay)",single
42,athletic,mostly anything,socially,never,graduated from college/university,white,72,100000,medicine / health,NA,straight,likes dogs and likes cats,other and laughing about it,m,libra but it doesn&rsquo;t matter,no,english (fluently),single
30,NA,NA,socially,NA,graduated from college/university,white,68,-1,NA,NA,straight,NA,NA,f,cancer,no,english,single
28,NA,NA,socially,never,graduated from college/university,white,71,-1,NA,NA,straight,NA,judaism,m,NA,no,english,single
28,average,strictly anything,socially,never,graduated from college/university,white,73,-1,computer / hardware / software,NA,straight,likes dogs,christianity but not too serious about it,m,gemini and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly), c++ (okay)",seeing someone
34,full figured,mostly vegetarian,socially,sometimes,dropped out of law school,white,67,-1,rather not say,"has a kid, but doesn&rsquo;t want more",bisexual,likes dogs and likes cats,other and laughing about it,f,aquarius and it&rsquo;s fun to think about,no,"english, german (okay)",available
30,fit,mostly vegetarian,socially,NA,graduated from college/university,white,65,30000,other,NA,straight,likes dogs and likes cats,other,f,virgo,no,english,single
35,average,strictly anything,socially,NA,NA,NA,66,70000,computer / hardware / software,NA,straight,likes dogs and likes cats,catholicism but not too serious about it,m,leo and it&rsquo;s fun to think about,sometimes,english,single
35,thin,mostly anything,socially,never,graduated from masters program,white,65,-1,other,"doesn&rsquo;t have kids, but might want them",straight,likes dogs,judaism but not too serious about it,f,sagittarius but it doesn&rsquo;t matter,no,english,single
70,fit,NA,socially,never,two-year college,white,66,-1,NA,has kids,straight,has dogs and has cats,catholicism,f,NA,sometimes,english,single
32,athletic,mostly anything,socially,never,graduated from ph.d program,"asian, white, other",69,-1,medicine / health,"doesn&rsquo;t have kids, but wants them",straight,likes dogs,christianity and very serious about it,m,scorpio and it&rsquo;s fun to think about,no,"english, chinese (poorly), spanish (poorly), japanese (poorly), korean (poorly)",seeing someone
27,average,mostly halal,rarely,never,dropped out of college/university,"black, native american, white",71,80000,entertainment / media,has a kid,straight,NA,NA,m,sagittarius,no,english,single
28,thin,NA,socially,never,working on college/university,asian,65,-1,banking / financial / real estate,NA,gay,likes dogs,NA,m,cancer,trying to quit,english,single
31,athletic,NA,socially,never,graduated from masters program,asian,70,150000,banking / financial / real estate,NA,straight,likes dogs and likes cats,NA,m,NA,no,"english (fluently), japanese (fluently), french (poorly)",single
54,NA,NA,socially,never,graduated from college/university,white,70,-1,NA,NA,straight,likes dogs and has cats,NA,m,capricorn but it doesn&rsquo;t matter,no,english (fluently),single
37,curvy,NA,socially,never,graduated from masters program,black,61,-1,other,NA,straight,NA,christianity and somewhat serious about it,f,NA,no,english,single
28,average,strictly anything,socially,sometimes,working on masters program,asian,64,-1,student,NA,bisexual,NA,NA,f,scorpio and it&rsquo;s fun to think about,no,"english, chinese (okay)",single
28,athletic,NA,often,never,graduated from med school,black,68,-1,medicine / health,NA,gay,NA,NA,m,capricorn,no,"english, spanish, catalan, german, arabic",single
22,skinny,mostly anything,socially,never,working on college/university,white,75,-1,other,NA,straight,likes dogs,agnosticism,m,aries,yes,english,single
29,athletic,NA,socially,NA,graduated from college/university,asian,69,-1,NA,NA,gay,likes dogs,NA,m,gemini,no,english,single
23,skinny,mostly anything,not at all,never,space camp,white,68,20000,other,"doesn&rsquo;t have kids, but wants them",straight,likes dogs and has cats,NA,m,virgo and it&rsquo;s fun to think about,no,english,single
33,average,anything,socially,never,working on space camp,white,68,50000,sales / marketing / biz dev,NA,straight,NA,NA,m,capricorn,no,english,single
45,athletic,anything,socially,never,graduated from space camp,"asian, pacific islander",67,70000,artistic / musical / writer,NA,straight,likes dogs and has cats,NA,m,pisces and it&rsquo;s fun to think about,sometimes,"english, tagalog",single
27,thin,strictly vegetarian,socially,NA,graduated from college/university,"pacific islander, white",69,-1,entertainment / media,NA,gay,NA,NA,m,leo,no,"english, spanish (poorly)",single
26,athletic,strictly anything,socially,never,graduated from law school,NA,69,-1,sales / marketing / biz dev,NA,straight,likes dogs and likes cats,NA,f,NA,no,english (fluently),single
27,average,mostly anything,socially,sometimes,working on college/university,NA,66,-1,student,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,other and very serious about it,m,aquarius and it&rsquo;s fun to think about,when drinking,english (fluently),single
41,average,NA,socially,never,working on masters program,hispanic / latin,67,30000,sales / marketing / biz dev,NA,straight,has cats,christianity and somewhat serious about it,m,libra but it doesn&rsquo;t matter,no,"english, spanish",single
23,thin,mostly anything,socially,NA,graduated from college/university,white,72,-1,student,NA,straight,NA,judaism and laughing about it,m,libra,no,english,single
34,athletic,mostly anything,socially,NA,graduated from masters program,white,64,-1,medicine / health,NA,straight,NA,agnosticism and very serious about it,f,NA,no,"english (fluently), spanish (fluently)",single
38,average,mostly anything,socially,never,graduated from masters program,white,71,-1,science / tech / engineering,NA,straight,dislikes dogs and likes cats,catholicism but not too serious about it,m,cancer and it&rsquo;s fun to think about,sometimes,"english (okay), italian (fluently)",single
23,curvy,anything,socially,never,working on college/university,hispanic / latin,67,-1,student,NA,straight,NA,NA,f,gemini and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",single
37,fit,mostly anything,socially,never,graduated from college/university,white,70,-1,sales / marketing / biz dev,"doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,NA,f,virgo and it&rsquo;s fun to think about,no,"english, spanish (poorly)",single
26,average,NA,socially,never,graduated from college/university,white,70,-1,other,NA,straight,likes dogs and has cats,agnosticism and somewhat serious about it,m,gemini and it&rsquo;s fun to think about,no,"english (fluently), german (okay)",seeing someone
29,fit,NA,not at all,never,graduated from ph.d program,white,66,-1,science / tech / engineering,NA,straight,NA,NA,m,NA,no,"english (fluently), farsi (fluently), french (poorly)",single
22,skinny,anything,socially,never,working on college/university,"asian, pacific islander",71,-1,student,NA,straight,NA,catholicism,m,capricorn,no,english,single
24,athletic,mostly anything,socially,NA,working on ph.d program,white,71,-1,education / academia,doesn&rsquo;t have kids,straight,NA,NA,m,NA,NA,"english, german, french",single
31,curvy,mostly vegetarian,socially,never,graduated from masters program,white,64,-1,NA,NA,straight,has dogs,christianity and laughing about it,f,gemini and it&rsquo;s fun to think about,no,"english (fluently), french (poorly), spanish (poorly)",single
28,curvy,anything,socially,NA,graduated from college/university,white,67,-1,NA,NA,straight,likes dogs,agnosticism,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently), portuguese (poorly)",single
29,average,mostly anything,socially,never,graduated from college/university,white,73,-1,education / academia,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and dislikes cats,christianity and somewhat serious about it,m,NA,no,english,single
28,average,NA,not at all,never,NA,asian,69,-1,NA,NA,straight,NA,agnosticism,m,aries but it doesn&rsquo;t matter,trying to quit,"english (fluently), chinese (okay)",single
24,full figured,mostly anything,rarely,sometimes,working on college/university,white,67,20000,student,NA,gay,likes dogs and dislikes cats,other and somewhat serious about it,f,aquarius but it doesn&rsquo;t matter,when drinking,"english (fluently), spanish (poorly), sign language (okay)",single
